ingredient_name,ingredient_id
peanut buuter,1
jelly,2
bread,3
salt,4
pepper,5
suger,6
vinegar,7
honey,8
ketchup,9
mayonnaise,10
mustard,11
rice,12
flour,13
corn,14
beef,15
chicken,16
pork,17
fish,18
oil,19
milk,20
butter,21
egg,22
cream,23
cheese,24
baking powder,25
lemon,26
chili,27
coriander,28
celery,29
carrot,30
soy sauce,31
brown sugar,32
water,33
paprika,34
cardomom,35
salmon,36
maple syrup,37
tomato,38
onion,39
cooked chicken,40
ham,41
sweet pickle juice,42
aniseed,43
ginger,44
lemon juice,45
cinnamon,46
tortilla,47
BBQ sauce,48
bread crump,49
bacon,50
jalapeno,51
cream cheese,52
bannana,53
oats,54
macaroni,55
chocolate milk,56
avacado,57
chocolate,58
